Flat profile of libsolarus.so.1 (LD_PROFILE, symbolized by sprof_parse.py; glibc sprof broken by dlmopen assertion)
total samples: 6866  rate: 100 Hz  => 68.66 s of libsolarus self-time
text range: 0x0..0x2e1000  bins: 754688 x 4 B  unmapped samples: 15 (0.22%)
CAVEATS: (1) the "_init" bucket is really the .plt region (0xc6d28..0xd1ee8 follows _init with no
covering symbol) = PLT stubs + LD_PROFILE's forced-lazy audit trampoline on every cross-DSO call —
mostly profiling-mode overhead, discount it. (2) samples cover ALL threads (SIGPROF is process-wide):
the lua-console stdin thread busy-polls MainLoop::is_exiting() (173M arc calls over the run) and owns
ranks 2-3. POSSIBLE REAL FINDING, not just an artifact: the daemon launches the engine with stdin from
/dev/null, so getline() hits EOF instantly and this thread likely spins a whole A9 core in SHIP runs too
(competing with the core-1 audio thread). Cheap fix candidate: launch with -lua-console=no.

  %   cumulative   self              self
 time   seconds   seconds    calls  name
  0.16      58.53      0.11        -  std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > >::_M_erase(__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >)
  0.16      58.64      0.11        -  Solarus::Quadtree<std::shared_ptr<Solarus::Entity>, Solarus::EntityZOrderComparator>::Node::is_main_cell(Solarus::Rectangle const&) const
  0.16      58.75      0.11        -  Solarus::Entity::clear_old_sprites()
  0.16      58.86      0.11        -  Solarus::Entity::clear_old_stream_actions()
  0.16      58.97      0.11        -  Solarus::Entity::is_ground_obstacle(Solarus::Ground) const
  0.16      59.08      0.11        -  Solarus::Entity::get_max_bounding_box() const
  0.16      59.19      0.11        -  Solarus::LuaTools::call_function(lua_State*, int, int, char const*)
  0.16      59.30      0.11        -  Solarus::LuaContext::update_timers()
  0.15      59.40      0.10        -  Solarus::Entity::is_drawn_in_y_order() const
  0.15      59.50      0.10        -  Solarus::Wall::get_type() const [clone .localalias]
  0.15      59.60      0.10        -  Solarus::Drawable::is_suspended() const
  0.15      59.70      0.10        -  Solarus::Drawable::draw(std::shared_ptr<Solarus::Surface> const&, Solarus::Point const&, Solarus::DrawProxy const&) const
  0.15      59.80      0.10        -  Solarus::MisterBlitterRenderer::Impl::upload(Solarus::SurfaceImpl const&, unsigned char)
  0.15      59.90      0.10        -  blt_blit
  0.13      59.99      0.09        -  Solarus::Map::test_collision_with_ground(int, int, int, Solarus::Entity const&, bool&) const
  0.13      60.08      0.09        -  Solarus::Map::test_collision_with_obstacles(int, Solarus::Rectangle const&, Solarus::Entity&)
  0.13      60.17      0.09        -  Solarus::Destination::get_type() const
  0.13      60.26      0.09        -  Solarus::Enemy::update()
  0.13      60.35      0.09        -  Solarus::Teletransporter::get_type() const
  0.13      60.44      0.09        -  Solarus::LuaContext::menus_on_update(int)
  0.12      60.52      0.08        -  std::__shared_ptr<Solarus::Entity, (__gnu_cxx::_Lock_policy)2>::__shared_ptr(std::__shared_ptr<Solarus::Entity, (__gnu_cxx::_Lock_policy)2> const&)
  0.12      60.60      0.08        -  <unmapped:0x13f7fe>
  0.12      60.68      0.08        -  Solarus::Entity::has_collision_mode(Solarus::CollisionMode)
  0.12      60.76      0.08        -  Solarus::Entity::notify_position_changed()
  0.12      60.84      0.08        -  Solarus::Entity::update_stream_action()
  0.12      60.92      0.08        -  Solarus::SDLRenderer::SurfaceDraw::draw(Solarus::Surface&, Solarus::Surface const&, Solarus::DrawInfos const&) const
  0.12      61.00      0.08        -  Solarus::LuaContext::is_entity(lua_State*, int)
  0.12      61.08      0.08        -  Solarus::LuaContext::item_on_update(Solarus::EquipmentItem&)
  0.12      61.16      0.08        -  Solarus::LuaContext::test_userdata(lua_State*, int, char const*)
  0.12      61.24      0.08        -  Solarus::LuaContext::add_timer(std::shared_ptr<Solarus::Timer> const&, int, Solarus::ScopedLuaRef const&)
  0.10      61.31      0.07        -  std::_Rb_tree<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> >, std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Solarus::Savegame::SavedValue>, std::_Select1st<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Solarus::Savegame::SavedValue> >, std::less<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > >, std::allocator<std::pair<std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const, Solarus::Savegame::SavedValue> > >::find(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.10      61.38      0.07        -  void std::__introsort_loop<__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, int, __gnu_cxx::__ops::_Iter_comp_iter<Solarus::(anonymous namespace)::DrawingOrderComparator> >(__gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, __gnu_cxx::__normal_iterator<std::shared_ptr<Solarus::Entity>*, std::vector<std::shared_ptr<Solarus::Entity>, std::allocator<std::shared_ptr<Solarus::Entity> > > >, int, __gnu_cxx::__ops::_Iter_comp_iter<Solarus::(anonymous namespace)::DrawingOrderComparator>)
  0.10      61.45      0.07        -  Solarus::Entity::get_sprite(std::__cxx11::basic_string<char, std::char_traits<char>, std::allocator<char> > const&) const
  0.10      61.52      0.07        -  Solarus::Entity::check_collision(Solarus::Entity&)
  0.10      61.59      0.07        -  Solarus::Entity::draw_sprites(Solarus::Camera&, Solarus::Rectangle const&)
  0.10      61.66      0.07        -  Solarus::Entity::draw(Solarus::Camera&)
  0.10      61.73      0.07        -  Solarus::Npc::get_type() const [clone .localalias]
  0.10      61.80      0.07        -  Solarus::SDLRenderer::default_terminal() const
  0.10      61.87      0.07        -  Solarus::MisterBlitterRenderer::clear(Solarus::SurfaceImpl&)
  0.10      61.94      0.07        -  Solarus::ExportableToLua::get_lua_context() const
  0.10      62.01      0.07        -  Solarus::LuaContext::userdata_meta_index_as_table(lua_State*)
  0.09      62.07      0.06        -  Solarus::EquipmentItem::get_savegame()
  0.09      62.13      0.06        -  Solarus::Map::is_loaded() const
  0.09      62.19      0.06        -  Solarus::Map::get_ground(int, int, int, Solarus::Entity const*) const
  0.09      62.25      0.06        -  Solarus::Savegame::get_game()
  0.09      62.31      0.06        -  Solarus::Entity::get_modified_ground() const [clone .localalias]
  0.09      62.37      0.06        -  Solarus::Entity::get_lua_type_name[abi:cxx11]() const
  0.09      62.43      0.06        -  Solarus::Entity::get_map() const
  0.09      62.49      0.06        -  Solarus::Entity::get_bounding_box() const
  0.09      62.55      0.06        -  Solarus::Entity::is_detector() const
  0.09      62.61      0.06        -  Solarus::Entity::update_sprite(Solarus::Sprite&)
  0.09      62.67      0.06        -  Solarus::Stairs::get_type() const
  0.09      62.73      0.06        -  Solarus::TilePattern::update()
  0.09      62.79      0.06        -  Solarus::Sprite::get_region() const
  0.09      62.85      0.06        -  Solarus::Sprite::is_blinking() const
  0.09      62.91      0.06        -  Solarus::RandomPathMovement::update()
  0.07      62.96      0.05        -  Solarus::Music::update_playing()
  0.07      63.01      0.05        -  Solarus::Equipment::get_savegame()
  0.07      63.06      0.05        -  Solarus::MainLoop::get_lua_context()
  0.07      63.11      0.05        -  Solarus::Savegame::get_lua_context()
  0.07      63.16      0.05        -  Solarus::(anonymous namespace)::DrawingOrderComparator::operator()(std::shared_ptr<Solarus::Entity> const&, std::shared_ptr<Solarus::Entity> const&) const [clone .constprop.0]
  0.07      63.21      0.05        -  <unmapped:0x139fe2>
  0.07      63.26      0.05        -  Solarus::Entity::has_stream_action() const
  0.07      63.31      0.05        -  Solarus::Entity::get_displayed_xy() const
  0.07      63.36      0.05        -  std::_Hashtable<Solarus::MisterBlitterRenderer::Impl::SurfKey, std::pair<Solarus::MisterBlitterRenderer::Impl::SurfKey const, blt_surface_ref_t>, std::allocator<std::pair<Solarus::MisterBlitterRenderer::Impl::SurfKey const, blt_surface_ref_t> >, std::__detail::_Select1st, std::equal_to<Solarus::MisterBlitterRenderer::Impl::SurfKey>, Solarus::MisterBlitterRenderer::Impl::SurfKeyHash, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::find(Solarus::MisterBlitterRenderer::Impl::SurfKey const&)
  0.07      63.41      0.05        -  void mpix::(anonymous namespace)::neon_rgb565_row<0, 1, 2>(unsigned char const*, int, unsigned short*)
  0.07      63.46      0.05        -  Solarus::SpriteAnimationSet::get_max_bounding_box() const
  0.07      63.51      0.05        -  Solarus::LuaContext::set_current_state(lua_State*)
  0.07      63.56      0.05        -  Solarus::LuaContext::timer_api_start(lua_State*)
  0.06      63.60      0.04        -  NativeAudioWriter_Submit
  0.06      63.64      0.04        -  Solarus::Equipment::get_ability_savegame_variable[abi:cxx11](Solarus::Ability) const
  0.06      63.68      0.04        -  Solarus::Map::get_game()
  0.06      63.72      0.04        -  std::vector<unsigned int, std::allocator<unsigned int> >::_M_default_append(unsigned int)
  0.06      63.76      0.04        -  Solarus::Camera::is_traversing_separator() const
